route_id,direction_label,stop_code,stop_name,stop_sequence
78,Inbound,maro,pawtucket transit ctr (main & roosevelt),1
78,Inbound,scbe,school & beverage hill,2
78,Inbound,nebh,newport & beverage hill,3
78,Inbound,pafe,pawtucket & newman,4
78,Inbound,wamp,wampanoag mall,5
78,Inbound,brsi,taunton & waterman,6
78,Inbound,tapo,taunton & potter,7
78,Inbound,kepl,kennedy plaza - providence,8
78,Outbound,kepl,kennedy plaza - providence,1
78,Outbound,tapo,taunton & potter,2
78,Outbound,brsi,taunton & waterman,3
78,Outbound,wamp,wampanoag mall,4
78,Outbound,pafe,pawtucket & newman,5
78,Outbound,nebh,newport & beverage hill,6
78,Outbound,bhpr,beverage hill & prospect,7
78,Outbound,maro,pawtucket transit ctr (main & roosevelt),8
80,Inbound,arbl,slater park (armistice blvd.),1
80,Inbound,arne,armistice & newport,2
80,Inbound,aryo,armistice & york,3
80,Inbound,cogb,columbus & george bennett,4
80,Inbound,meho,memorial hospital,5
80,Inbound,maro,pawtucket transit ctr (main & roosevelt),6
80,Outbound,maro,pawtucket transit ctr (main & roosevelt),1
80,Outbound,meho,memorial hospital,2
80,Outbound,cogb,columbus & george bennett,3
80,Outbound,aryo,armistice & york,4
80,Outbound,arne,armistice & newport,5
80,Outbound,arbl,slater park (armistice blvd.),6
87,East,medr,memorial & bourdon,1
87,East,seri,second & river,2
87,East,maas,main street (municipal parking lot),3
87,East,cadu,cass & dulude,4
87,East,wapl,walnut hill plaza,5
87,East,prri,diamond hill plaza (pricerite),6
87,West,prri,diamond hill plaza (pricerite),1
87,West,wapl,walnut hill plaza,2
87,West,cadu,cass & dulude,3
87,West,maas,main street (municipal parking lot),4
87,West,fmse,fairmount & second,5
87,West,medr,memorial & bourdon,6
92,East,ric,rhode island college,1
92,East,atmp,atwells & mount pleasant,2
92,East,egsq,eagle square (atwells & valley),3
92,East,atde,atwells & dean,4
92,East,kepl,kennedy plaza - providence,5
92,East,edpo,eddy & point,6
92,East,fopo,fox point (wickenden & ives),7
92,East,esmp,eastside marketplace,8
92,West,esmp,eastside marketplace,1
92,West,fopo,fox point (wickenden & ives),2
92,West,edpo,eddy & point,3
92,West,kepl,kennedy plaza - providence,4
92,West,atde,atwells & dean,5
92,West,egsq,eagle square (atwells & valley),6
92,West,atmp,atwells & mount pleasant,7
92,West,ric,rhode island college,8
95,Inbound,west,westerly railroad station,1
95,Inbound,asha,park&ride (rte. 3 - ashaway),2
95,Inbound,wyom,park&ride (wyoming),3
95,Inbound,exit,park&ride (exit 7 - w. greenwich),4
95,Inbound,exte,exchange terrace (stop X),5
95,Inbound,conv,rhode island convention center,6
95,Inbound,weem,westminster & empire,7
95,Inbound,weed,weybosset & eddy,8
95,Inbound,tuhe,turk's head building,9
95,Outbound,conv,rhode island convention center,1
95,Outbound,weem,westminster & empire,2
95,Outbound,weed,weybosset & eddy,3
95,Outbound,tuhe,turk's head building,4
95,Outbound,exte,exchange terrace (stop X),5
95,Outbound,exit,park&ride (exit 7 - w. greenwich),6
95,Outbound,wyom,park&ride (wyoming),7
95,Outbound,asha,park&ride (rte. 3 - ashaway),8
95,Outbound,west,westerly railroad station,9
